study5	0.2206	0.5370	0.3164	Note	D4	290.673
study5	0.5457	0.8185	0.2728	Note	E4	325.343
study5	0.8359	0.8882	0.0522	Cut	A4	434.488
study5	0.8969	1.1668	0.2699	Note	F#4	365.149
study5	1.1755	1.4687	0.2932	Note	D4	286.821
study5	1.4832	2.0434	0.5602	Note	E4	326.627
study5	2.0608	2.0956	0.0348	Cut	A4	433.204
study5	2.1014	2.3829	0.2815	Note	F#4	365.149
study5	2.4004	2.6819	0.2815	Note	E4	326.627
study5	2.6935	3.2943	0.6008	Note	D4	288.105
study5	3.2856	3.3582	0.0726	Cut	A4	434.488
study5	3.3843	3.6339	0.2496	Note	F#4	365.149
study5	3.6484	3.9822	0.3338	Note	D4	290.673
study5	3.9996	4.2696	0.2699	Note	E4	327.911
study5	4.2841	4.5743	0.2902	Note	D4	286.821
study5	4.5540	4.5990	0.0450	Cut	B4	487.135
study5	4.6411	4.8994	0.2583	Note	G4	390.83
study5	4.9255	5.2158	0.2902	Note	F#4	363.865
study5	5.2158	5.4973	0.2815	Note	E4	325.343
study5	5.5118	5.8050	0.2932	Note	F#4	361.297
study5	5.8021	5.8514	0.0493	Cut	B4	483.283
study5	5.8746	6.1156	0.2409	Note	G4	388.262
study5	6.1272	6.4435	0.3164	Note	E4	325.343
study5	6.4522	7.0269	0.5747	Note	F#4	363.865
study5	7.0385	7.0908	0.0522	Cut	B4	485.851
study5	7.1053	7.3927	0.2873	Note	G4	389.546
study5	7.3927	7.7061	0.3135	Note	F#4	363.865
study5	7.7177	8.2779	0.5602	Note	E4	325.343
study5	8.2808	8.3244	0.0435	Cut	B4	487.135
study5	8.3447	8.6378	0.2932	Note	G4	386.978
study5	8.6465	8.9600	0.3135	Note	E4	331.763
study5	8.9803	9.2590	0.2786	Note	F#4	365.149
study5	9.2793	9.5521	0.2728	Note	E4	327.911
study5	9.5637	9.6073	0.0435	Cut	C5	519.237
study5	9.6305	9.8917	0.2612	Note	A4	437.057
study5	9.9178	10.2284	0.3106	Note	G4	389.546
study5	10.2400	10.5244	0.2844	Note	F#4	363.865
study5	10.5302	10.8176	0.2873	Note	G4	385.694
study5	10.8176	10.8611	0.0435	Cut	C5	515.385
study5	10.8756	11.1311	0.2554	Note	A4	435.773
study5	11.1340	11.4387	0.3048	Note	F#4	362.581
study5	11.4532	12.0395	0.5863	Note	G4	384.41
study5	12.0366	12.0715	0.0348	Cut	C5	514.101
study5	12.0918	12.3675	0.2757	Note	A4	435.773
study5	12.3849	12.6636	0.2786	Note	G4	390.83
study5	12.6810	13.2528	0.5718	Note	F#4	366.433
study5	13.2673	13.3050	0.0377	Cut	C5	517.953
study5	13.3137	13.5837	0.2699	Note	A4	435.773
study5	13.5866	13.9117	0.3251	Note	F#4	365.149
study5	13.9175	14.1961	0.2786	Note	G4	392.114
study5	14.1961	14.4863	0.2902	Note	F#4	362.581
study5	14.4951	14.5444	0.0493	Cut	C#5	551.339
study5	14.5386	14.8172	0.2786	Note	B4	497.408
study5	14.8346	15.1075	0.2728	Note	A4	442.193
study5	15.1336	15.4035	0.2699	Note	G4	386.978
study5	15.4239	15.7431	0.3193	Breath	G4	386.978
study5	15.7576	15.8186	0.0610	Cut	C#5	555.191
study5	15.8273	16.0798	0.2525	Note	B4	493.556
study5	16.1030	16.4397	0.3367	Note	G4	389.546
study5	16.4368	17.0231	0.5863	Note	A4	440.909
study5	17.0260	17.0725	0.0464	Cut	C#5	548.771
study5	17.0870	17.3772	0.2902	Note	B4	498.692
study5	17.3976	17.6617	0.2641	Note	A4	443.477
study5	17.6878	18.2741	0.5863	Note	G4	388.262
study5	18.2683	18.3176	0.0493	Cut	C#5	544.918
study5	18.3176	18.6021	0.2844	Note	B4	497.408
study5	18.6282	18.9562	0.3280	Note	G4	393.398
study5	18.9562	19.2319	0.2757	Note	A4	437.057
study5	19.2610	19.5396	0.2786	Note	F#4	363.865
study5	19.5367	19.5889	0.0522	Cut	B4	484.567
study5	19.6122	19.8879	0.2757	Note	G4	392.114
study5	19.9169	20.2623	0.3454	Note	E4	327.911
